model,family,params_b,id,category,language,score,detail,valid_json,output,expected,ttft_s,total_time_s,decode_tokens_per_s
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-008,instruction_following,en,1.0,correct,,true,true,0.0859,0.0957,203.46
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-en-009,instruction_following,en,1.0,correct,,"Red, Blue","red, blue",0.1381,0.1687,130.77
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-001,instruction_following,it,0.0,format_ok_content_wrong,,NO,SÌ,0.0949,0.1047,203.96
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-002,instruction_following,it,0.0,format_ok_content_wrong,,calmo,Freddo,0.1122,0.132,151.59
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-003,instruction_following,it,0.0,format_ok_content_wrong,,"Elenca, Melon, Pomodoro","mela, banana, arancia",0.1508,0.2505,110.36
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-004,instruction_following,it,0.0,format_ok_content_wrong,,31,366,0.1586,0.1791,146.53
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-005,instruction_following,it,1.0,correct,,Capitale: Tokyo,Capitale: Tokyo,0.0822,0.1315,121.63
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-006,instruction_following,it,0.0,content_and_format_wrong,,Júpiter,GIOVE,0.1326,0.1717,127.95
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-007,instruction_following,it,1.0,correct,,❤️,❤️,0.1355,0.1549,154.67
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-008,instruction_following,it,1.0,correct,,vero,vero,0.0999,0.1101,196.39
Qwen2.5-0.5B-Instruct,Qwen,0.5,instruction_following-it-009,instruction_following,it,0.0,format_ok_content_wrong,,"verde, nera","rosso, blu",0.1676,0.2164,122.89
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-001,classification,en,1.0,exact_match,,positive,positive,0.5199,0.5372,115.65
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-002,classification,en,1.0,exact_match,,negative,negative,0.2127,0.229,122.9
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-003,classification,en,1.0,exact_match,,neutral,neutral,0.164,0.1803,123.33
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-004,classification,en,1.0,exact_match,,technology,technology,0.2513,0.2674,123.98
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-005,classification,en,1.0,exact_match,,sports,sports,0.2649,0.281,123.92
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-006,classification,en,1.0,exact_match,,business,business,0.246,0.2628,118.98
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-007,classification,en,1.0,exact_match,,health,health,0.2807,0.2975,118.88
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-en-008,classification,en,1.0,exact_match,,negative,negative,0.2439,0.2601,123.8
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-001,classification,it,1.0,exact_match,,positive,positive,0.4043,0.4206,122.62
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-002,classification,it,1.0,exact_match,,negative,negative,0.2879,0.304,124.57
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-003,classification,it,1.0,exact_match,,neutral,neutral,0.2379,0.2543,122.12
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-004,classification,it,1.0,exact_match,,technology,technology,0.352,0.3686,120.52
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-005,classification,it,1.0,exact_match,,sports,sports,0.3099,0.3275,113.08
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-006,classification,it,1.0,exact_match,,business,business,0.3089,0.3255,120.26
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-007,classification,it,1.0,exact_match,,health,health,0.329,0.3461,117.1
Qwen2.5-1.5B-Instruct,Qwen,1.5,classification-it-008,classification,it,1.0,exact_match,,negative,negative,0.2736,0.2904,118.94
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-001,information_extraction,en,0.75,values_missing:date,True,"{
  ""invoice_number"": ""4521"",
  ""issued_to"": ""Maria Garcia"",
  ""date"": ""July 14, 2025"",
  ""total_amount"": ""$1,230.50""
}","{""invoice_number"": ""4521"", ""customer"": ""Maria Garcia"", ""date"": ""2025-07-14"", ""total"": ""1230.50""}",0.6559,1.6855,52.45
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-002,information_extraction,en,0.3333,"values_missing:name,phone",True,"{
  ""contact_method"": ""Email"",
  ""email"": ""john.doe@example.com""
}","{""name"": ""John Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""(555) 123-4567""}",0.2994,0.7325,50.79
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-003,information_extraction,en,1.0,all_values_found,True,"{
  ""flight"": ""AA245"",
  ""departure_gate"": ""12"",
  ""departure_time"": ""14:30"",
  ""arrival_city"": ""Chicago"",
  ""arrival_time"": ""17:05""
}","{""flight_number"": ""AA245"", ""gate"": ""12"", ""departure_time"": ""14:30"", ""destination"": ""Chicago"", ""arrival_time"": ""17:05""}",0.3296,1.4536,48.05
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-004,information_extraction,en,0.75,values_missing:hours,True,"{
  ""date"": ""Monday and Wednesday"",
  ""time"": ""9am to 1pm"",
  ""location"": ""Riverside Clinic"",
  ""doctor"": ""Dr. Emily Carter""
}","{""doctor"": ""Dr. Emily Carter"", ""location"": ""Riverside Clinic"", ""days"": [""Monday"", ""Wednesday""], ""hours"": ""9am-1pm""}",0.2725,1.215,46.68
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-005,information_extraction,en,0.6667,values_missing:end_date,True,"{
  ""date"": ""2025-09-03"",
  ""location"": ""Berlin"",
  ""duration"": ""3 days""
}","{""event_location"": ""Berlin"", ""start_date"": ""2025-09-03"", ""end_date"": ""2025-09-05""}",0.2625,0.9449,49.82
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-006,information_extraction,en,1.0,all_values_found,True,"{
  ""order_number"": ""78910"",
  ""shipping_method"": ""FedEx"",
  ""estimated_delivery_days"": ""3-5 business days""
}","{""order_number"": ""78910"", ""carrier"": ""FedEx"", ""eta_days"": ""3-5""}",0.2433,0.988,49.69
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-007,information_extraction,en,0.3333,"values_missing:address,month_sold",True,"{
  ""street"": ""Elm Street"",
  ""year_sold"": ""2024"",
  ""price"": ""$375,000""
}","{""address"": ""42 Elm Street"", ""price"": ""375000"", ""month_sold"": ""June 2024""}",0.2885,0.9983,50.72
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-en-008,information_extraction,en,0.75,values_missing:attendee,True,"{
  ""date"": ""Thursday"",
  ""time"": ""10:00 AM"",
  ""location"": ""Conference Room B""
}","{""attendee"": ""Robert Chen"", ""day"": ""Thursday"", ""time"": ""10:00 AM"", ""location"": ""Conference Room B""}",0.2082,0.8041,52.01
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-001,information_extraction,it,0.5,"values_missing:date,total",True,"{
  ""fattura"": ""4521"",
  ""emittente"": ""Maria Rossi"",
  ""data_emissione"": ""14 luglio 2025"",
  ""totale"": ""1.230,50 euro""
}","{""invoice_number"": ""4521"", ""customer"": ""Maria Rossi"", ""date"": ""2025-07-14"", ""total"": ""1230.50""}",0.571,1.7079,51.89
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-002,information_extraction,it,1.0,all_values_found,True,"{
  ""fields"": [
    ""name"",
    ""email"",
    ""phone""
  ],
  ""values"": [
    ""Luca Bianchi"",
    ""luca.bianchi@example.it"",
    ""333 1234567""
  ]
}","{""name"": ""Luca Bianchi"", ""email"": ""luca.bianchi@example.it"", ""phone"": ""333 1234567""}",0.3483,1.5342,50.59
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-003,information_extraction,it,1.0,all_values_found,True,"{
  ""volo"": ""AZ310"",
  ""partenza"": ""gate 7 alle 16:45"",
  ""arrivo"": ""Roma alle 18:20""
}","{""flight_number"": ""AZ310"", ""gate"": ""7"", ""departure_time"": ""16:45"", ""destination"": ""Roma"", ""arrival_time"": ""18:20""}",0.3109,1.2642,49.3
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-004,information_extraction,it,0.5,"values_missing:doctor,hours",True,"{
  ""date"": ""martedì e giovedì"",
  ""time"": ""9 alle 13"",
  ""day"": ""martedì e giovedì"",
  ""doctor"": ""La dottoressa Chiara Ferrari"",
  ""hospital"": ""l'Ambulatorio Centrale""
}","{""doctor"": ""Dott.ssa Chiara Ferrari"", ""location"": ""Ambulatorio Centrale"", ""days"": [""martedì"", ""giovedì""], ""hours"": ""9-13""}",0.3791,1.7388,49.27
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-005,information_extraction,it,0.3333,"values_missing:start_date,end_date",True,"{
  ""dates"": ""3 al 5 settembre 2025"",
  ""location"": ""Milano""
}","{""event_location"": ""Milano"", ""start_date"": ""2025-09-03"", ""end_date"": ""2025-09-05""}",0.2399,0.808,51.05
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-006,information_extraction,it,1.0,all_values_found,True,"{
  ""orders"": [
    {
      ""order_number"": ""78910"",
      ""delivery_method"": ""BRT"",
      ""delivery_estimate"": ""3-5 days""
    }
  ]
}","{""order_number"": ""78910"", ""carrier"": ""BRT"", ""eta_days"": ""3-5""}",0.3222,1.2256,50.92
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-007,information_extraction,it,0.6667,values_missing:month_sold,True,"{
  ""data"": {
    ""address"": ""via Verdi 42"",
    ""price"": 375000,
    ""sale_date"": ""2024-06""
  }
}","{""address"": ""via Verdi 42"", ""price"": ""375000"", ""month_sold"": ""giugno 2024""}",0.3389,1.3063,49.62
Qwen2.5-1.5B-Instruct,Qwen,1.5,information_extraction-it-008,information_extraction,it,0.75,values_missing:attendee,True,"{
  ""date"": ""giovedì"",
  ""time"": ""10:00"",
  ""location"": ""Sala Riunioni B""
}","{""attendee"": ""Roberto Colombo"", ""day"": ""giovedì"", ""time"": ""10:00"", ""location"": ""Sala Riunioni B""}",0.2785,0.9792,49.95
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-001,structured_output,en,1.0,all_fields_match,True,"{
  ""name"": ""Alice"",
  ""age"": 29
}","{""name"": ""Alice"", ""age"": 29}",0.5961,176.129,0.1
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-002,structured_output,en,1.0,all_fields_match,True,"{""city"": ""Paris"", ""country"": ""France""}","{""city"": ""Paris"", ""country"": ""France""}",0.2066,0.4383,56.09
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-003,structured_output,en,1.0,all_fields_match,True,"{
  ""title"": ""1984"",
  ""author"": ""George Orwell"",
  ""year"": 1949
}","{""title"": ""1984"", ""author"": ""George Orwell"", ""year"": 1949}",0.3309,0.9289,51.84
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-004,structured_output,en,1.0,list_match,True,"{
  ""colors"": [""red"", ""blue"", ""yellow""]
}","[""red"", ""blue"", ""yellow""]",0.2083,0.5842,42.57
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-005,structured_output,en,0.3333,"fields_wrong:price,in_stock",True,"{
  ""product"": ""Laptop"",
  ""price"": ""$999"",
  ""in_stock"": ""currently available""
}","{""product"": ""Laptop"", ""price"": 999, ""in_stock"": true}",0.4142,1.3959,29.54
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-006,structured_output,en,1.0,all_fields_match,True,"{""day"": ""Monday"", ""temperature_celsius"": 22}","{""day"": ""Monday"", ""temperature_celsius"": 22}",0.4952,1.0726,27.71
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-007,structured_output,en,1.0,all_fields_match,True,"{
  ""first_name"": ""Tom"",
  ""last_name"": ""Walker"",
  ""email"": ""tom.walker@email.com""
}","{""first_name"": ""Tom"", ""last_name"": ""Walker"", ""email"": ""tom.walker@email.com""}",0.5257,1.4702,31.76
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-en-008,structured_output,en,1.0,all_fields_match,True,"{
  ""width"": 10,
  ""height"": 5
}","{""width"": 10, ""height"": 5}",0.4161,0.9404,34.33
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-001,structured_output,it,1.0,all_fields_match,True,"{
  ""nome"": ""Alice"",
  ""eta"": 29
}","{""nome"": ""Alice"", ""eta"": 29}",0.3264,0.8324,35.58
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-002,structured_output,it,1.0,all_fields_match,True,"{
  ""citta"": ""Parigi"",
  ""paese"": ""Francia""
}","{""citta"": ""Parigi"", ""paese"": ""Francia""}",0.3821,0.9919,34.44
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-003,structured_output,it,1.0,all_fields_match,True,"{""titolo"": ""Il Nome della Rosa"", ""autore"": ""Umberto Eco"", ""anno"": 1980}","{""titolo"": ""Il Nome della Rosa"", ""autore"": ""Umberto Eco"", ""anno"": 1980}",0.5932,1.4915,33.4
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-004,structured_output,it,0.0,list_mismatch,True,"{
  ""colors"": [""red"", ""blue"", ""yellow""]
}","[""rosso"", ""blu"", ""giallo""]",0.3639,0.8287,34.43
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-005,structured_output,it,0.3333,"fields_wrong:prezzo,disponibile",True,"{
  ""prodotto"": ""Laptop"",
  ""prezzo"": ""999 euro"",
  ""disponibile"": ""attualmente disponibile""
}","{""prodotto"": ""Laptop"", ""prezzo"": 999, ""disponibile"": true}",0.4357,1.568,32.68
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-006,structured_output,it,1.0,all_fields_match,True,"{
  ""giorno"": ""lunedì"",
  ""temperatura_celsius"": 22
}","{""giorno"": ""lunedì"", ""temperatura_celsius"": 22}",0.4402,1.1949,33.12
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-007,structured_output,it,1.0,all_fields_match,True,"{
  ""nome"": ""Tommaso"",
  ""cognome"": ""Ferrari"",
  ""email"": ""tommaso.ferrari@email.it""
}","{""nome"": ""Tommaso"", ""cognome"": ""Ferrari"", ""email"": ""tommaso.ferrari@email.it""}",0.4142,1.5451,32.72
Qwen2.5-1.5B-Instruct,Qwen,1.5,structured_output-it-008,structured_output,it,1.0,all_fields_match,True,"{
  ""larghezza"": 10,
  ""altezza"": 5
}","{""larghezza"": 10, ""altezza"": 5}",0.4608,1.0892,33.42
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-001,summarization,en,0.1961,token_f1=0.20,,"Solar and wind power generation increased globally by 18%, driven by falling costs and government subsidies, with several countries now generating over a third of their electricity from renewables.","Renewable energy generation grew significantly last year due to lower costs and government support, with continued growth expected as storage technology improves.",1.2738,2.3203,33.45
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-002,summarization,en,0.2979,token_f1=0.30,,"TechCorp reported a 12% increase in quarterly revenue of $2.4 billion, driven by strong cloud services demand, with profit margins improving slightly despite rising data center costs.","TechCorp's quarterly revenue rose 12% thanks to strong cloud demand, and its stock climbed after the earnings announcement.",0.8302,1.9829,32.96
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-003,summarization,en,0.6207,token_f1=0.62,,"Astronauts Neil Armstrong and Buzz Aldrin became the first humans to walk on the Moon as part of NASA's Apollo 11 mission on July 20, 1969, marking a major milestone in the space race.","Apollo 11's 1969 Moon landing made Armstrong and Aldrin the first humans on the Moon, a landmark moment in the space race.",0.9335,2.5146,32.26
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-004,summarization,en,0.3256,token_f1=0.33,,"A new study indicates that insufficient sleep increases heart disease risk, supporting recommendations for adequate sleep.","A decade-long study found that sleeping under six hours a night raises heart disease risk, reinforcing the importance of getting seven to eight hours of sleep.",1.002,1.5607,34.01
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-005,summarization,en,0.4889,token_f1=0.49,,"The visiting team won a dramatic 2-1 victory over the home team in the final minutes, with a late free kick goal.","The home team overturned an early deficit with two late goals, including a dramatic 88th-minute free kick, to win 2-1.",0.8693,1.7062,33.46
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-006,summarization,en,0.5455,token_f1=0.55,,"The city council approved a free public bus plan funded by a downtown parking tax, aiming to reduce congestion and emissions, but some business owners are critical.","The city will make buses free next year, funded by a new downtown parking tax meant to cut traffic and emissions, though some business owners oppose the tax.",0.7276,1.6653,33.06
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-007,summarization,en,0.5,token_f1=0.50,,"A new exoplanet, roughly 1.5 times Earth-sized and taking 200 days to orbit its star, has been discovered 40 light-years away, potentially hosting liquid water.","Astronomers found a potentially habitable exoplanet 40 light-years away, about 1.5 times Earth's size, and plan further studies of its atmosphere.",0.9562,2.243,32.64
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-en-008,summarization,en,0.439,token_f1=0.44,,"A young detective in 1920s London investigates a theft while uncovering a police force conspiracy, ultimately testifying before a tribunal.","A 1920s London detective uncovers police corruption while investigating a small theft, ultimately risking her career to testify against corrupt colleagues.",0.8557,1.7594,33.2
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-001,summarization,it,0.0312,token_f1=0.03,,"Global solar and wind energy production increased by 18% last year due to lower installation costs and government incentives, with Germany and India now generating over a third of their electricity from renewable sources.","La produzione di energia rinnovabile è cresciuta molto lo scorso anno grazie a costi più bassi e incentivi statali, con una crescita futura attesa grazie ai progressi nell'accumulo energetico.",1.5721,2.7872,32.92
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-002,summarization,it,0.1053,token_f1=0.11,,"TechCorp reported a quarterly revenue of $2.4 billion, up 12% from the same period last year, driven by cloud service demand. Profit margins improved slightly despite cost increases for data centers.","Il fatturato trimestrale di TechCorp è cresciuto del 12% grazie alla domanda di servizi cloud, e il titolo è salito dopo l'annuncio dei risultati.",1.2478,2.571,32.49
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-003,summarization,it,0.1887,token_f1=0.19,,"Neil Armstrong and Buzz Aldrin became the first humans to walk on the Moon during the Apollo 11 mission on July 20, 1969, watched live by millions worldwide.","Lo sbarco sulla Luna dell'Apollo 11 nel 1969 rese Armstrong e Aldrin i primi uomini sulla Luna, un momento cruciale della corsa allo spazio.",1.2898,2.5437,32.7
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-004,summarization,it,0.0317,token_f1=0.03,,"A study of 5,000 adults over ten years found that sleeping less than six hours per night significantly increases the risk of cardiovascular diseases compared to seven to eight hours, with no additional benefits beyond nine hours.","Uno studio decennale ha rilevato che dormire meno di sei ore aumenta il rischio cardiaco, confermando l'importanza di dormire sette-otto ore a notte.",1.4648,2.8471,32.55
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-005,summarization,it,0.0889,token_f1=0.09,,"The home team won 2-1 in the second half with a late penalty goal, reversing the first half's deficit.","La squadra di casa ha ribaltato uno svantaggio iniziale con due gol nel finale, incluso un gol su punizione all'88', vincendo 2-1.",1.0956,1.8733,33.43
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-006,summarization,it,0.0278,token_f1=0.03,,"The municipal council has approved a plan to make all public buses free starting next year, funded by a new parking fee tax, with the aim of reducing traffic and emissions. Some local merchants have criticized the new parking fee as unfair.","La città renderà gratuiti gli autobus dal prossimo anno grazie a una nuova tassa sui parcheggi del centro, pensata per ridurre traffico ed emissioni, nonostante le critiche di alcuni commercianti.",1.2207,926.7785,0.05
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-007,summarization,it,0.5172,token_f1=0.52,,"Astronomi hanno descritto un nuovo esopianeta di 1,5 volte la Terra, in orbita attorno a una stella a 40 anni luce di distanza, potenzialmente con acqua liquida in superficie.","Gli astronomi hanno scoperto un esopianeta potenzialmente abitabile a 40 anni luce, circa 1,5 volte le dimensioni della Terra, da studiare in futuro per la sua atmosfera.",1.8017,3.5282,32.44
Qwen2.5-1.5B-Instruct,Qwen,1.5,summarization-it-008,summarization,it,0.0,token_f1=0.00,,"A young investigator in 1920s London uncovers a corrupt police conspiracy while investigating a seemingly minor theft, ultimately deciding to testify against corrupt colleagues at great personal cost.","Un'investigatrice nella Londra degli anni '20 scopre la corruzione della polizia indagando su un piccolo furto, rischiando la carriera per testimoniare contro i colleghi corrotti.",1.3249,2.4419,33.12
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-001,reasoning,en,0.0,numeric_mismatch,,"To find out how many kilometers the train travels in 1 hour, we first determine the speed of the train. The speed is calculated by dividing the distance traveled by the time taken. 

Given that the train travels 60 kilometers in 1.5 hours, the speed is:

\[ \text{Speed} = \frac{\text{Distance}}{\text{Time}} = \frac{60 \text{ km}}{1.5 \text{ hours}} = 40 \text{ km/h} \]

Now, to find out how many kilometers the train travels in 1 hour, we use the speed we just calculated:

\[ \text{Distance in 1 hour} = \text{Speed} \times 1 \text{ hour} = 40 \text{ km/h} \times 1 \text{ hour} = 40 \text{ km} \]

Therefore, the train travels 40 kilometers in 1 hour.",40,1.01,7.7024,30.33
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-002,reasoning,en,1.0,numeric_match,,"3 boxes * 8 apples/box = 24 apples
24 apples - 5 apples = 19 apples

Sara has 19 apples left.",19,0.404,1.4904,34.06
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-003,reasoning,en,1.0,numeric_match,,"Sale price = Original price - (Original price * Discount rate)
Sale price = $40 - ($40 * 0.25)
Sale price = $40 - $10
Sale price = $30",$30,0.3375,1.8072,32.66
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-004,reasoning,en,0.0,day_mismatch_or_missing,,"If today is Wednesday, in 10 days it will be a Friday.",Saturday,0.3043,0.7974,34.48
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-005,reasoning,en,1.0,numeric_match,,"Area = length × width
Area = 8 meters × 5 meters
Area = 40 square meters",40 square meters,0.286,0.9888,34.15
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-006,reasoning,en,1.0,numeric_match,,Tom is 14 years old.,14,0.3469,0.5884,37.27
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-007,reasoning,en,1.0,numeric_match,,"To solve this, first find the amount of flour needed for one cookie by dividing the total cups by the total number of cookies: 2 cups / 12 cookies = 1/6 cup per cookie. Then multiply this amount by the number of cookies needed: (1/6 cup/cookie) * 30 cookies = 5 cups. Therefore, the answer is 5.",5,0.3763,2.8685,32.5
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-008,reasoning,en,1.0,numeric_match,,"To solve this, we first determine the total amount of work done by 3 workers in 6 days. Since the rate per worker is the same, we can use the formula: total work = number of workers * days * rate per worker. 

For 3 workers in 6 days, the total work is 3 * 6 * rate per worker. 

Now, if we have 6 workers, we can set up the equation: total work = 6 * days * rate per worker. 

Since the total work remains the same, we can equate the two expressions: 3 * 6 * rate per worker = 6 * days * rate per worker. 

Solving for days, we get: days = 3 * 6 / 6 = 3 days.

Therefore, it would take 6 workers 3 days to build the wall.",3,0.4329,6.1517,31.48
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-en-009,reasoning,en,1.0,numeric_match,,"50 liters / 5 liters per 100 km = 10 sets of 100 km
10 sets * 100 km = 1000 km

The car can travel 1000 km on a full tank.",1000 km,0.485,2.2611,32.66
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-001,reasoning,it,1.0,numeric_match,,40 chilometri,40,0.5561,0.7389,38.3
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-002,reasoning,it,1.0,numeric_match,,"Sara ha 3 scatole con 8 mele ciascuna, quindi ha in totale 3 * 8 = 24 mele.
Regala 5 mele, quindi le restano 24 - 5 = 19 mele.",19,0.4693,2.2752,33.22
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-003,reasoning,it,1.0,numeric_match,,"40 * 0.25 = 10 euro sconto
40 - 10 = 30 euro scontato",30 euro,0.4055,1.3293,33.56
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-004,reasoning,it,0.0,day_mismatch_or_missing,,Lunedì,sabato,0.3089,0.4008,43.51
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-005,reasoning,it,0.0,numeric_mismatch,,20 metri quadrati,40 metri quadrati,0.4001,0.5792,39.07
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-006,reasoning,it,1.0,numeric_match,,"Tommaso ha il doppio degli anni di sua sorella, quindi:
7 (anni di sua sorella) x 2 = 14 anni

Tommaso ha 14 anni.",14,0.43,1.7384,33.63
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-007,reasoning,it,0.0,numeric_mismatch,,"2 tazze per 12 biscotti, quindi per 30 biscotti servono 3 tazze.",5,0.4947,1.2876,34.05
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-008,reasoning,it,0.0,numeric_mismatch,,12,3,0.5658,0.6233,52.23
Qwen2.5-1.5B-Instruct,Qwen,1.5,reasoning-it-009,reasoning,it,0.0,numeric_mismatch,,"50 litri / 5 litri/km = 10 km

Quindi, con il serbatoio pieno, l'auto può percorrere 10 km.",1000 km,0.5839,1.8136,34.16
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-001,instruction_following,en,1.0,correct,,YES,YES,0.6711,0.6989,71.87
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-002,instruction_following,en,1.0,correct,,cold,Cold,0.2516,0.2812,67.59
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-003,instruction_following,en,0.0,format_ok_content_wrong,,"apple, banana, cherry","apple, banana, orange",0.2124,0.3557,41.87
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-004,instruction_following,en,1.0,correct,,366,366,0.3031,0.3864,48.02
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-005,instruction_following,en,1.0,correct,,Capital: Tokyo,Capital: Tokyo,0.2859,0.3688,48.25
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-006,instruction_following,en,1.0,correct,,JUPITER,JUPITER,0.2437,0.3265,48.31
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-007,instruction_following,en,1.0,correct,,❤️,❤️,0.2517,0.307,54.19
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-008,instruction_following,en,1.0,correct,,true,true,0.3778,0.4056,71.8
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-en-009,instruction_following,en,1.0,correct,,"red, blue","red, blue",0.2849,0.3678,48.22
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-it-001,instruction_following,it,0.0,format_ok_content_wrong,,NO,SÌ,0.4045,0.4317,73.45
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-it-002,instruction_following,it,1.0,correct,,Freddo,Freddo,0.2323,0.3152,48.25
Qwen2.5-1.5B-Instruct,Qwen,1.5,instruction_following-it-003,instruction_following,it,0.0,format_ok_content_wrong,,"uva, banana, limone","mela, banana, arancia",0.3192,0.5132,41.24
